Exercise Name,Male Video Filename,Female Video Filename
Stepjack Inner Biceps Curl,56451201-Stepjack-Inner-Biceps-Curl-(male)_Plyometrics_.mp4,56291201-Stepjack-Inner-Biceps-Curl-(female)_Plyometrics_.mp4
Stick Side Bend Stretch,103601201-Stick-Side-Bend-Stretch-(male)_Waist_.mp4,54051201-Stick-Side-Bend-Stretch-(female)_Waist_.mp4
Stick Side To Front Bend Stretch,103591201-Stick-Side-to-Front-Bend-Stretch-(male)_Waist_.mp4,54061201-Stick-Side-to-Front-Bend-Stretch-(female)_Waist_.mp4
Sumo Squat,10641201-Sumo-Squat-(male)_Thighs-FIX_.mp4,08021201-Sumo-Squat_Thighs.mp4
Sumo Squat With Heel Raise,105231201-Sumo-Squat-with-Heel-Raise-(male)_Thighs_.mp4,87051201-Sumo-Squat-with-Heel-Raise-(female)_Hips_.mp4
Superman Push Up,08031201-Superman-Push-up_Chest.mp4,70751201-Superman-Push-up-(female)_Chest_.mp4
Surrender Side Bend,55861201-Surrender-Side-Bend-(Male)_Waist_.mp4,93511201-Surrender-Side-Bend-(female)_Waist_.mp4
Suspender Arm Curl,59261201-Suspender-Arm-Curl-(male)_Upper-Arms_.mp4,10701201-Suspender-Arm-Curl-(female)_Upper-Arms_.mp4
Suspender Front Plank,72751201-Suspender-Front-Plank-(male)_Waist_.mp4,11141201-Suspender-Front-Plank-(female)_Waist_.mp4
Suspender Lat Stretch,72781201-Suspender-Lat-Stretch-(male)_Back_.mp4,11181201-Suspender-Lat-Stretch-(female)_Back_.mp4
Suspender One Arm Biceps Curl,59271201-Suspender-One-Arm-Biceps-Curl-(male)_Upper-arms_.mp4,11231201-Suspender-One-Arm-Biceps-Curl-(female)_Upper-Arms_.mp4
Suspender Pike,95001201-Suspender-Pike-(male)_Waist_.mp4,10851201-Suspender-Pike-(female)_Hips_.mp4
Suspender Power Pull,88441201-Suspender-Power-Pull-(male)_Waist_.mp4,10861201-Suspender-Power-Pull-(female)_Back_.mp4
Suspender Single Leg Squat,58311201-Suspender-Single-Leg-Squat-(male)_Hips_.mp4,11011201-Suspender-Single-Leg-Squat-(female)_Hips_.mp4
Swimming Crawl Style,69441201-Swimming-Crawl-Style-(male)_Plyometrics_.mp4,84831201-Swimming-Crawl-Style-(female)_Plyometrics_.mp4
Swing Torso Twist,76711201-Swing-Torso-Twist-(male)_Plyometrics_.mp4,74831201-Swing-Torso-Twist-(female)_Plyometrics_.mp4
Table Top Bridge,48001201-Table-Top-Bridge_Hips_.mp4,71721201-Table-Top-Bridge-(female)_Hips_.mp4
Tilt And Extend,97191201-Tilt-and-Extend-(male)_Waist_.mp4,73521201-Tilt-and-Extend-(female)_Waist_.mp4
Top Bottom Punch Squat,57951201-Top-Bottom-Punch-Squat-(male)_Plyometrics_.mp4,71641201-Top-Bottom-Punch-Squat-(female)_Plyometrics_.mp4
Touchdown,47101201-Touchdown_Plyometrics_.mp4,49971201-Touchdown-(female)_Plyometrics_.mp4
Trap Bar Deadlift,08111201-Trap-Bar-Deadlift_Thighs-FIX_.mp4,57581201-Trap-Bar-Deadlift-(female)_Thighs_.mp4
Tree Yoga Pose Open Chest,96711201-Tree-Yoga-Pose-Open-Chest-(male)_Stretching_.mp4,95301201-Tree-Yoga-Pose-Open-Chest-(female)_Stretching_.mp4
Triceps Dip,08141201-Triceps-Dip_Upper-Arms-FIX_.mp4,31151201-Triceps-Dip-(female)_Upper-Arms.mp4
Triceps Dip (Bench Leg),08121201-Triceps-Dip-(bench-leg)_Upper-Arms_.mp4,97361201-Triceps-Dip-(bench-leg)-(female)_Upper-Arms_.mp4
Triceps Dip Floor,08151201-Triceps-Dip-Floor_Upper-Arms-FIX_.mp4,51101201-Triceps-Dip-Floor-(female)_Upper-Arms_.mp4
Triceps Extension Stepback,85791201-Triceps-Extension-Stepback-(male)_Plyometrics_.mp4,55491201-Triceps-Extension-Stepback-(female)_Plyometrics_.mp4
Triceps Press (Head Below Bench),11911201-Triceps-Press-(Head-Below-Bench)_Upper-Arms-FIX_.mp4,70871201-Triceps-Press-(Head-Below-Bench)-(female)_Upper-Ar.mp4
Twist March,89051201-Twist-March-(male)_Plyometrics_.mp4,53181201-Twist-March-(female)_Plyometrics_.mp4
Twist Turn Slam,55411201-Twist-Turn-Slam_Plyometrics_.mp4,55461201-Twist-Turn-Slam-(female)_Plyometrics_.mp4
Twisting Crunch,46201201-Twisting-Crunch_Waist.mp4,60161201-Twisting-Crunch-(female)_Waist_.mp4
Twisting Knee Thrust,45491201-Twisting-Knee-Thrust_Plyometrics.mp4,51761201-Twisting-Knee-Thrust-(female)_Plyometrics_.mp4
Twisting Knee Up,55321201-Twisting-Knee-Up-(male)_Plyometrics_.mp4,55971201-Twisting-Knee-Up-(female)_Plyometrics_.mp4
Twisting Woodchopper,81841201-Twisting-Woodchopper-(male)_Plyometrics_.mp4,75751201-Twisting-Woodchopper-(female)_Plyometrics_.mp4
Underhand Circle Draw,76351201-Underhand-Circle-Draw-(male)_Shoulders_.mp4,101231201-Underhand-Circle-Draw-(female)_Shoulders_.mp4
V Hold (Beginner Level),88591201-V-Hold-(beginner-level)-(male)_Waist_.mp4,69661201-V-Hold-(beginner-level)-(female)_Waist_.mp4
W To Y Superman,55351201-W-to-Y-Superman_Hips_.mp4,55451201-W-to-Y-Superman-(female)_Hips_.mp4
Walking,22581201-Walking_Cardio-FIX_.mp4,22611201-Walking-(female)_Cardio_.mp4
Walking Knee Raise Sky Reach On Spot (Front Pov) (,96421201-Walking-Knee-Raise-Sky-Reach-On-Spot-(front-POV)-(.mp4,92931201-Walking-Knee-Raise-Sky-Reach-On-Spot-(front-POV)-(.mp4
